ksas_code,jenis_ksas,tahap,nama,luas_h,akt_1,akt_syarat,akt_0,negeri,daerah,bp,bpk,tahun_data,lat,lon,radius_m,area_derived,radius_basis,sumber,representation,keyakinan,label_peta,key
KSAS 6,Kawasan Perlindungan Hidupan Liar,Tahap 1,Royal Belum State Park,117500.0,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity,Perbandaran; Pengusahasilan hutan; Pertanian; Perlombongan,Perak,Hulu Perak,NA,NA,2025,5.55,101.35,19500,True,"circle-equivalent of 117,500 ha state park","Perak State Parks Corporation (117,500 ha taman negeri)",park-scale circular proxy — NOT the gazetted park boundary,disahkan,Belum KSAS,ksas06_royal_belum
KSAS 7,"Kawasan Empangan, Tadahan Air dan Imbuhan Air Bawah Tanah",Tahap 1,Empangan Kenyir,26000.0,Infrastruktur empangan; Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan,Intensiti rendah; teknologi hijau tidak menjejaskan ekosistem; pencemar berhampiran empangan dilarang,Perbandaran; Pembalakan; Pertanian; Perlombongan,Terengganu,Hulu Terengganu,NA,NA,2025,5.0,102.8,9000,True,circle-equivalent of ~260 km2 lake,PPP KSAS Jadual 4 (KSAS 7 Tahap 1: empangan sedia ada); tasik ~260 km2 (anggaran),reservoir-scale circular proxy — NOT the empangan reserve boundary,anggaran,Kenyir KSAS,ksas07_empangan_kenyir
KSAS 8,Dataran Banjir,Tahap 2,Sungai Pahang Meander (Temerloh),,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti; Kawasan takungan dan landskap,Tidak cemar sumber air; reka bentuk ambil kira risiko banjir; tidak halang laluan air,Semua pembangunan selain yang dibenarkan,Pahang,Temerloh,NA,NA,2025,3.45,102.42,8000,False,river-reach node buffer (sempadan daripada kajian JPS berkenaan),PPP KSAS Jadual 4 (KSAS 8 Tahap 2); JPS reach records (wakil node),reach-node proxy — sempadan sebenar daripada kajian teknikal berkenaan,wakil,Pahang KSAS,ksas08_sungai_pahang
KSAS 9,Tanah Bencah dan Tanah Gambut,Tahap 1,Tasek Bera Ramsar,38446.0,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Berintensiti rendah,Perbandaran; Pembalakan; Pertanian; Perlombongan,Pahang,Bera,NA,NA,2025,3.08,102.62,11000,True,"circle-equivalent of 38,446 ha Ramsar catchment","Ramsar Site 674 (38,446 ha; listed 1994); tapak tanah bencah diwartakan",catchment-scale circular proxy — NOT the Ramsar boundary,disahkan,Bera KSAS,ksas09_tasek_bera
KSAS 9,Tanah Bencah dan Tanah Gambut,Tahap 2,Pekan-Nenasi Peatland,,Perikanan; Akuakultur; Infrastruktur dan utiliti,Patuhi pihak berkuasa + RT; kajian kesesuaian tapak sebelum dibangunkan,Perbandaran; Pertanian kelapa sawit; Perlombongan,Pahang,Pekan,NA,NA,2025,3.35,103.35,8000,False,gambut-node buffer (ketebalan/keluasan daripada kajian tanah berkenaan),PPP KSAS Jadual 4/5 (KSAS 9 Tahap 2: tanah gambut); wakil node,peat-node proxy — zon risiko sebenar daripada kajian tanah berkenaan,wakil,Gambut KSAS,ksas09_pekan_nenasi
KSAS 10,Tasik dan Sungai,Tahap 3,Tasik Chini Biosphere,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Mematuhi syarat pihak berkuasa + RT,-,Pahang,Pekan,NA,NA,2025,3.43,102.91,8000,False,tasik-node buffer (sempadan rizab daripada PBT berkenaan),UNESCO Biosphere Reserve 2009; tasik semula jadi (wakil node),lake-node circular proxy — NOT the reserve boundary,wakil,Chini KSAS,ksas10_tasik_chini
KSAS 10,Tasik dan Sungai,Tahap 3,Sungai Tembeling,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Mematuhi syarat pihak berkuasa + RT,Pertanian; Industri; Perumahan,Pahang,Jerantut,NA,NA,2025,4.2,102.35,8000,False,river-reach node buffer (sempadan daripada kajian JPS berkenaan),PPP KSAS Jadual 4 (KSAS 10 Tahap 3: sungai nilai sokongan); wakil node,reach-node proxy — sempadan sebenar daripada kajian teknikal berkenaan,wakil,Tembeling KSAS,ksas10_sungai_tembeling
KSAS 11,Kawasan Persisiran Pantai,Tahap 1,Cherating Turtle Beach,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Berintensiti rendah,-,Pahang,Kuantan,NA,NA,2025,4.13,103.39,8000,False,pantai-node buffer (penentuan tahap merujuk NCVI/RFZPPN2 berkenaan),PPP KSAS Jadual 4 (KSAS 11 Tahap 1: sokongan hidup/risiko/warisan tinggi); tapak pendaratan penyu,beach-node proxy — 5 km kedaratan / 3 batu nautika sebenar daripada pelan berkenaan,wakil,Cherating KSAS,ksas11_cherating_turtle
KSAS 12,Kawasan Perlindungan Marin,Tahap 1,Taman Laut Pulau Tioman,,Ekopelancongan dan rekreasi; Penyelidikan dan pendidikan; Infrastruktur dan utiliti,Intensiti rendah; kawalan carrying capacity,Perikanan dan akuakultur,Pahang,Rompin,NA,NA,2025,2.79,104.17,8000,False,marin-node buffer (sempadan taman laut daripada Jabatan Perikanan berkenaan),PPP KSAS Jadual 4 (KSAS 12 Tahap 1: taman laut diwartakan); Akta Perikanan 1985,marine-node proxy — NOT the gazetted marine park boundary,wakil,Tioman KSAS,ksas12_taman_laut
KSAS 13,Kawasan Keterjaminan Makanan,Tahap 1,Jelapang Padi MADA,100000.0,Kemudahan sokongan aktiviti pertanian; Infrastruktur dan utiliti,Mematuhi syarat pihak berkuasa + RT; tanaman selain padi tidak dibenarkan,Semua pembangunan selain kemudahan sokongan pertanian,Kedah,Kota Setar,NA,NA,2025,6.12,100.37,18000,True,"circle-equivalent of ~100,000 ha scheme","MADA scheme area ~100,000 ha (anggaran); PPP KSAS Jadual 4 (KSAS 13 Tahap 1)",scheme-scale circular proxy — NOT the jelapang boundary,anggaran,MADA KSAS,ksas13_jelapang_padi
KSAS 14,Kawasan Bekas Lombong dan Kuari,Tahap 2,Mamut Copper Mine (ex-mine),,Boleh dipertimbangkan untuk semua jenis pembangunan dengan syarat pihak berkuasa + RT,Mematuhi syarat pihak berkuasa + RT,Perikanan,Sabah,Ranau,NA,NA,2025,6.02,116.66,8000,False,bekas-lombong node buffer (rekod lombong berkenaan),PPP KSAS Jadual 4/5 (KSAS 14 Tahap 2: bekas lombong bernilai warisan); rekod lombong Mamut,ex-mine node proxy — NOT a surveyed boundary,wakil,Mamut KSAS,ksas14_mamut_copper
KSAS 15,Bekas dan Tapak Pelupusan Sisa Pepejal,Tahap 3,Seelong Sanitary Landfill,,Taman awam; Infrastruktur dan utiliti,Rujuk Panduan Pemuliharaan Bekas Tapak Pelupusan (Jabatan Landskap Negara),-,Johor,Kulai,NA,NA,2025,1.6,103.65,8000,False,tapak-node buffer (rekod PBT berkenaan),PPP KSAS Jadual 4 (KSAS 15 Tahap 3); tapak sanitari PBT (wakil node),site-node proxy — saiz/lokasi sebenar daripada rekod PBT berkenaan,wakil,Seelong KSAS,ksas15_seelong_sanitary
