destination,state,district,category,relative_search_index,peak_month,dominant_query,method
Sibu,Sarawak,Sibu,Alternative,21.9,September,"base jumping, central sarawak mall, civic square",proxy: demand-normalized index; peak month from national demand calendar
Sepang,Selangor,Sepang,Alternative,21.5,September,"district21 adventure, largest mall malaysia, olympic ice rink",proxy: demand-normalized index; peak month from national demand calendar
Klang,Selangor,Klang,Alternative,21.0,September,"apparel accessories, b2b b2c retail, home decor",proxy: demand-normalized index; peak month from national demand calendar
Seberang Perai Utara,Pulau Pinang,Seberang Perai Utara,Alternative,20.8,September,"butterworth art walk, container art, pantai bersih seafood",proxy: demand-normalized index; peak month from national demand calendar
Semporna,Sabah,Semporna,Hotspot,20.1,December,"bajau laut stilt villages, coral reefs, epic viewpoint",proxy: demand-normalized index; peak month from national demand calendar
Kuala Selangor,Selangor,Kuala Selangor,Alternative,19.8,September,"bukit malawati, fresh seafood, kampung kuantan fireflies",proxy: demand-normalized index; peak month from national demand calendar
Manjung,Perak,Manjung,Alternative,19.2,September,"beaches, camping, coastal walk",proxy: demand-normalized index; peak month from national demand calendar
Kota Tinggi,Johor,Kota Tinggi,Alternative,18.4,September,"beach, beach resort, coastal",proxy: demand-normalized index; peak month from national demand calendar
Ranau,Sabah,Ranau,Hotspot,17.7,December,"boulder stream, camping, canopy walk",proxy: demand-normalized index; peak month from national demand calendar
Pontian,Johor,Pontian,Alternative,17.7,September,"kukup water village, mangrove ramsar, seafood stilt dining",proxy: demand-normalized index; peak month from national demand calendar
Larut & Matang,Perak,Larut & Matang,Alternative,16.6,September,"colonial heritage, conservation, first public garden",proxy: demand-normalized index; peak month from national demand calendar
Seremban,Negeri Sembilan,Seremban,Alternative,16.4,September,"cinema, civic square, clock tower",proxy: demand-normalized index; peak month from national demand calendar
Barat Daya,Pulau Pinang,Barat Daya,Alternative,16.2,September,"coastal view, largest mall in penang, retail chains",proxy: demand-normalized index; peak month from national demand calendar
Kuala Muda,Kedah,Kuala Muda,Alternative,16.1,September,"belacan, coastal, community retail",proxy: demand-normalized index; peak month from national demand calendar
Tawau,Sabah,Tawau,Alternative,15.9,September,"amplang crackers, dried seafood, indonesian batik",proxy: demand-normalized index; peak month from national demand calendar
Hulu Langat,Selangor,Hulu Langat,Alternative,15.3,September,"broga hill hiking, forest reserves, gabai waterfall",proxy: demand-normalized index; peak month from national demand calendar
Kota Setar,Kedah,Kota Setar,Alternative,15.1,September,"art gallery, baju melayu, cinema",proxy: demand-normalized index; peak month from national demand calendar
Kluang,Johor,Kluang,Alternative,14.9,September,"gunung lambak, kluang rail coffee, organic agritourism",proxy: demand-normalized index; peak month from national demand calendar
Rompin,Pahang,Rompin,Alternative,13.5,September,"coastal beaches, dive resorts, endau rompin national park",proxy: demand-normalized index; peak month from national demand calendar
Kota Bharu,Kelantan,Kota Bharu,Alternative,12.8,September,"apparel, batik songket, batik workshops",proxy: demand-normalized index; peak month from national demand calendar
Tuaran,Sabah,Tuaran,Alternative,11.9,September,"bajau horsemen, dalit bay resort, rumah terbalik",proxy: demand-normalized index; peak month from national demand calendar
Temerloh,Pahang,Temerloh,Alternative,10.9,September,"kuala gandah elephants, patin tempoyak capital, pekan sehari temerloh",proxy: demand-normalized index; peak month from national demand calendar
Kemaman,Terengganu,Kemaman,Alternative,10.6,September,"cherating border, hai peng kopitiam, pantai kemasik",proxy: demand-normalized index; peak month from national demand calendar
Besut,Terengganu,Besut,Alternative,10.5,September,"air panas la, bukit keluang beach, marine park",proxy: demand-normalized index; peak month from national demand calendar
Seberang Perai Selatan,Pulau Pinang,Seberang Perai Selatan,Alternative,10.3,September,"bukit tambun seafood, design village outlet, ikea batu kawan",proxy: demand-normalized index; peak month from national demand calendar
Penampang,Sabah,Penampang,Alternative,10.2,September,"kaamatan harvest, kadazandusun heartland, monsopiad cultural village",proxy: demand-normalized index; peak month from national demand calendar
